
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
78,78,Sunday Jun 30,boxscore,NYM,,WSN,L,2,13,,33-45,4,13.0,Gonzalez,Wheeler,,3:11,D,33366,-
79,79,Monday Jul 1,boxscore,NYM,,ARI,W-wo,5,4,13,34-45,4,12.5,Aardsma,Collmenter,,5:13,N,22240,+
80,80,Tuesday Jul 2,boxscore,NYM,,ARI,W,9,1,,35-45,4,12.5,Hefner,Corbin,,2:24,N,21500,++
81,81,Wednesday Jul 3,boxscore,NYM,,ARI,L,3,5,,35-46,4,12.5,Delgado,Harvey,Bell,3:17,N,41257,-
82,82,Thursday Jul 4,boxscore,NYM,,ARI,L,4,5,15,35-47,4,12.5,Roe,Rice,Ziegler,5:46,D,24224,--
83,83,Friday Jul 5,boxscore,NYM,@,MIL,W,12,5,,36-47,4,11.5,Wheeler,Hellweg,Edgin,3:30,N,32519,+
84,84,Saturday Jul 6,boxscore,NYM,@,MIL,L,6,7,,36-48,4,12.5,Gallardo,Marcum,Rodriguez,3:32,N,31619,-
85,85,Sunday Jul 7,boxscore,NYM,@,MIL,W,2,1,,37-48,4,11.5,Hefner,Gorzelanny,Parnell,2:47,D,39677,+
86,86,Monday Jul 8,boxscore,NYM,@,SFG,W,4,3,16,38-48,4,11.5,Edgin,Kontos,Parnell,5:26,N,41497,++
87,87,Tuesday Jul 9,boxscore,NYM,@,SFG,W,10,6,,39-48,4,11.5,Rice,Mijares,,3:23,N,41534,+++
88,88,Wednesday Jul 10,boxscore,NYM,@,SFG,W,7,2,,40-48,4,10.5,Wheeler,Cain,,2:55,D,41679,++++
89,89,Friday Jul 12,boxscore,NYM,@,PIT,L-wo,2,3,11,40-49,4,11.0,Mazzaro,Germen,,3:32,N,39036,-
90,90,Saturday Jul 13,boxscore,NYM,@,PIT,L,2,4,,40-50,4,12.0,Wilson,Burke,Grilli,3:02,N,39173,--
91,91,Sunday Jul 14,boxscore,NYM,@,PIT,W,4,2,,41-50,4,11.0,Gee,Cole,Parnell,3:02,D,37490,+
92,92,Friday Jul 19,boxscore,NYM,,PHI,L,8,13,,41-51,4,12.0,Kendrick,Hefner,,3:27,N,35021,-
